unq_no,n,rise_n,rise_recall,stable_low_fpr,overall_f1
22-0001,832,4,0.0,0.0,0.9735849056603774
23-0018,830,2,0.0,0.0,0.9561855670103093
23-0017,830,1,0.0,0.0,0.9965397923875432
23-0015,830,2,0.0,0.0,0.62882096069869
23-0014,830,6,0.0,0.0,0.9333333333333333
23-0007,830,6,0.0,0.0,0.7942028985507247
23-0005,832,15,0.0,0.0,0.6732673267326732
23-0004,832,6,0.0,0.0,0.9257812499999999
23-0003,590,8,0.0,0.0,0.8153846153846153
23-0019,830,4,0.0,0.0,0.9719416386083053
23-0001,832,25,0.0,0.0016863406408094434,0.7046979865771812
22-0002,832,15,0.0,0.0,0.8646748681898067
22-0010,832,9,0.0,0.0,0.9234042553191488
22-0007,832,11,0.0,0.0,0.908
22-0005,832,4,0.0,0.0,0.9374999999999999
22-0003,832,16,0.0625,0.0,0.9204152249134949
23-0008,830,15,0.13333333333333333,0.005128205128205128,0.825214899713467
22-0006,832,14,0.14285714285714285,0.0,0.9065606361829024
23-0009,830,35,0.14285714285714285,0.0,0.6405228758169934
23-0011,830,14,0.14285714285714285,0.0035842293906810036,0.84375
22-0014,832,13,0.15384615384615385,0.0,0.9282868525896414
23-0002,832,26,0.15384615384615385,0.014970059880239521,0.6167400881057269
22-0009,832,6,0.16666666666666666,0.0,0.8468468468468467
22-0011,832,18,0.16666666666666666,0.0,0.8477366255144032
22-0004,832,10,0.2,0.0038461538461538464,0.9414316702819957
22-0012,832,10,0.2,0.0017730496453900709,0.9099099099099099
22-0008,832,9,0.2222222222222222,0.006396588486140725,0.9535232383808097
22-0013,832,17,0.23529411764705882,0.0,0.8303249097472925
23-0010,830,11,0.2727272727272727,0.0052173913043478265,0.8287292817679558
23-0021,830,3,0.3333333333333333,0.0,0.9827411167512692
23-0006,148,0,,0.0,
23-0012,830,0,,0.0855421686746988,0.0
23-0013,830,0,,,0.5944055944055944
