정책,split,상승전이재현율,오경보율,목표대비오차,경보해제율,전체F1
고정임계(val),val,0.7933884297520661,0.04731310580458276,0.00268689419541724,0.008474576271186418,0.7754784301005515
고정임계(val),test,0.6477611940298508,0.02919225942804306,0.020807740571956942,0.045454545454545414,0.8385179795039719
규모조건부(학습OOF),val,0.6652892561983471,0.07947413376907936,0.029474133769079355,0.07627118644067798,0.7242853652577572
규모조건부(학습OOF),test,0.4925373134328358,0.0953041410739053,0.04530414107390529,0.07272727272727275,0.7486589614555107
규모조건부(val),val,0.6157024793388429,0.050098414231069185,9.841423106918268e-05,0.0847457627118644,0.7626428477604099
규모조건부(val),test,0.3761194029850746,0.06016775642295753,0.01016775642295753,0.2545454545454545,0.7748810885664398
