model,threshold,val_rise_recall,val_fpr,test_rise_recall,test_fpr,test_fall_release,test_f1,test_onset_catch
histgb,0.55,0.4570230607966457,0.04880470480409379,0.6045694200351494,0.023772115581665414,0.03673469387755102,0.8228978088519883,0.8413978494623656
logistic,0.53,0.4758909853249476,0.04895745818376231,0.5254833040421792,0.03695607623471549,0.008163265306122436,0.7821756225425951,0.8252688172043011
rule,,0.19077568134171907,0.02039257618574811,0.056239015817223195,0.00765079581938657,0.0,0.8414840941463745,0.6155913978494624
persistence,,0.0,0.0,0.0,0.0,0.0,0.8455654331197023,0.4166666666666667
