정책,split,상승전이재현율,오경보율,경보해제율,오해제율,전체F1
해제모델 없음,val,0.7933884297520661,0.04731310580458276,0.0,0.0,0.7790967741935484
해제모델 없음,test,0.6477611940298508,0.02919225942804306,0.0,0.0,0.8494277539341917
해제모델 적용,val,0.7933884297520661,0.04731310580458276,0.788135593220339,0.04888366627497065,0.7418018397584438
해제모델 적용,test,0.6477611940298508,0.02919225942804306,0.4181818181818182,0.11649831649831655,0.7639856592031389
