policy,val_fpr,test_fpr,fpr_drift,val_rise_recall,test_rise_recall
per_sensor_rate,0.0503212389051881,0.04226933491843339,0.008051903986754712,0.7272727272727273,0.4507462686567164
absolute,0.04731310580458276,0.02919225942804306,0.0181208463765397,0.7933884297520661,0.6477611940298508
global_rate,0.05091543803617187,0.0025097417607819828,0.04840569627538989,0.8099173553719008,0.373134328358209
