model,threshold,val_rise_recall,val_fpr,test_rise_recall,test_fpr,test_fall_release,test_f1,test_onset_catch
histgb,0.07,1.0,0.04689820012313041,0.8907563025210085,0.05727296049256029,0.0,0.8081659824697659,0.8506666666666667
logistic,0.33,0.7763157894736842,0.04552203672183392,0.865546218487395,0.07311441765007697,0.0,0.7813948532154085,0.856
rule,,0.5,0.020026798971498932,0.20168067226890757,0.007183170856849667,0.0,0.9471292025934095,0.19466666666666665
persistence,,0.0,0.0,0.0,0.0,0.0,0.9521352433973794,0.0
