model,threshold,val_rise_recall,val_fpr,test_rise_recall,test_fpr,test_fall_release,test_f1,test_onset_catch
logistic,0.43,0.71900826446281,0.04749879303301519,0.7313432835820896,0.05078924773793012,0.0,0.8289062960127215,0.8770053475935828
histgb,0.33,0.7933884297520661,0.04731310580458276,0.6477611940298508,0.02919225942804306,0.045454545454545414,0.8385179795039719,0.8529411764705882
rule,,0.3305785123966942,0.01804879860363204,0.10746268656716418,0.006340400237765009,0.0,0.8919227923868451,0.4304812834224599
persistence,,0.0,0.0,0.0,0.0,0.0,0.894308943089431,0.22994652406417113
