unq_no,n,rise_n,rise_recall,stable_low_fpr,overall_f1
22-0001,838,1,0.0,0.0,0.988735919899875
22-0002,838,5,0.0,0.0,0.9442508710801394
23-0014,836,2,0.0,0.0,0.9701986754966888
22-0005,838,1,0.0,0.0,0.9689440993788819
22-0007,838,3,0.0,0.0,0.9662027833001987
23-0007,836,2,0.0,0.0,0.9248554913294799
23-0005,838,10,0.0,0.0,0.7766990291262137
22-0010,838,1,0.0,0.0017574692442882249,0.9725158562367864
23-0004,838,2,0.0,0.0,0.9651162790697674
23-0003,598,3,0.0,0.002044989775051125,0.9117647058823529
23-0001,838,13,0.0,0.0032679738562091504,0.8333333333333333
23-0015,836,1,0.0,0.0,0.8122270742358079
23-0009,836,17,0.11764705882352941,0.003289473684210526,0.802588996763754
22-0003,838,6,0.16666666666666666,0.0,0.9672977624784854
22-0014,838,4,0.25,0.002012072434607646,0.9723320158102766
22-0008,838,4,0.25,0.006237006237006237,0.9761194029850746
22-0006,838,4,0.25,0.00375234521575985,0.9623762376237623
22-0011,838,6,0.3333333333333333,0.002861230329041488,0.9387755102040817
23-0002,838,8,0.375,0.015873015873015872,0.8281938325991188
23-0008,836,5,0.4,0.004966887417218543,0.9344729344729344
22-0013,838,5,0.4,0.0015128593040847202,0.9323843416370107
22-0012,838,2,0.5,0.006920415224913495,0.9574944071588367
22-0009,838,2,0.5,0.0,0.9369369369369368
23-0011,836,4,0.5,0.0034662045060658577,0.9378238341968912
22-0004,838,4,0.5,0.0075046904315197,0.9591397849462365
23-0010,836,3,0.6666666666666666,0.0033613445378151263,0.934065934065934
23-0021,836,1,1.0,0.0,0.992922143579373
23-0006,152,0,,0.0,
23-0012,836,0,,0.08492822966507177,0.0
23-0013,836,0,,,0.7692307692307692
23-0017,836,0,,0.0,0.9982788296041308
23-0018,836,0,,0.0,0.9846153846153847
23-0019,836,0,,0.0,0.987709497206704
