reference_start,R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,XCORD,YCORD,XX,YY,CD_GUBUN,distance_from_gangnam_station_m
강남역 인근 시연 시작점,3936.0,1165000000.0,444.0,서울특별시,서초구,1.0,학교,서초고등학교,1165010800115040000022278,1165010800.0,1165053000.0,서울특별시 서초구 반포대로27길 29(서초동),610.0,234.0,127.00604,37.48924,200533.82671,543309.93323,안전,2135.5623821297545
강남역 인근 시연 시작점,3937.0,1165000000.0,406.0,서울특별시,서초구,1.0,학교,서초중학교,1165010800117410007021283,1165010800.0,1165053000.0,서울특별시 서초구 반포대로13길 48(서초동),405.0,155.0,127.00883,37.48565,200781.00979,542911.06063,안전,2148.4368823583814
강남역 인근 시연 시작점,3948.0,1165000000.0,351.0,서울특별시,서초구,1.0,학교,경원중학교,1165010600100660001017504,1165010600.0,1165058000.0,서울특별시 서초구 신반포로33길 39(잠원동),723.0,278.0,127.00888,37.51076,200784.64645,545697.84588,긴급,2182.842966872062
강남역 인근 시연 시작점,3925.0,1165000000.0,386.0,서울특별시,서초구,4.0,관공서,잠원동주민센터,1165010600100580027019687,1165010600.0,1165054000.0,서울특별시 서초구 나루터로 38(잠원동),1468.0,564.0,127.01406,37.51493,201243.17679,546161.57333,안전,2236.018954385355
강남역 인근 시연 시작점,4010.0,1168000000.0,531.0,서울특별시,강남구,1.0,학교,대치중학교,1168011800104600000026372,1168011800.0,1168065600.0,서울특별시 강남구 남부순환로378길 39(도곡동),1006.0,386.0,127.04746,37.4846,204197.72955,542796.43163,긴급,2294.404928886011
강남역 인근 시연 시작점,4009.0,1168000000.0,532.0,서울특별시,강남구,1.0,학교,대도초등학교,1168011800101060001000058,1168011800.0,1168065600.0,서울특별시 강남구 선릉로 209(도곡동),1861.0,715.0,127.05283,37.49272,204672.1165,543697.77115,안전,2298.579449719464
강남역 인근 시연 시작점,4000.0,1168000000.0,520.0,서울특별시,강남구,4.0,관공서,논현2문화센터,1168010800101140024005886,1168010800.0,1168053100.0,서울특별시 강남구 학동로43길 17(논현동),1635.0,628.0,127.03705,37.51737,203275.3885,546433.08431,긴급,2315.108283373105
강남역 인근 시연 시작점,3995.0,1168000000.0,528.0,서울특별시,강남구,1.0,학교,도곡초등학교,1168010600109240010013723,1168010600.0,1168063000.0,서울특별시 강남구 선릉로64길 33(대치동),12553.0,4828.0,127.05447,37.49955,204816.4048,544455.5018,긴급,2375.4183548212072
강남역 인근 시연 시작점,3923.0,1165000000.0,409.0,서울특별시,서초구,1.0,학교,신동중학교,1165010600100540006019086,1165010600.0,1165054000.0,서울특별시 서초구 나루터로 27(잠원동),730.0,280.0,127.0132,37.5166,201167.10414,546346.84457,안전,2433.7398500109025
강남역 인근 시연 시작점,3956.0,1165000000.0,473.0,서울특별시,서초구,4.0,관공서,반포4동주민센터,1165010700100740007000001,1165010700.0,1165058100.0,서울특별시 서초구 사평대로28길 70(반포동),1946.0,748.0,127.0,37.5,200000.0,544504.12777,긴급,2447.326728354028
강남역 인근 시연 시작점,3949.0,1165000000.0,377.0,서울특별시,서초구,1.0,학교,반원초등학교,1165010600100720000017515,1165010600.0,1165058000.0,서울특별시 서초구 잠원로3길 28(잠원동),374.0,143.0,127.00388,37.51012,200342.67661,545627.40119,안전,2493.945063693993
강남역 인근 시연 시작점,3924.0,1165000000.0,419.0,서울특별시,서초구,4.0,관공서,반포3동주민센터,1165010600100710007017444,1165010600.0,1165058000.0,서울특별시 서초구 신반포로23길 78(잠원동),748.0,287.0,127.00558,37.51207,200493.30449,545843.62634,안전,2499.682930691586
강남역 인근 시연 시작점,3938.0,1165000000.0,407.0,서울특별시,서초구,1.0,학교,서울고등학교,1165010800115260001022302,1165010800.0,1165053000.0,서울특별시 서초구 효령로 197(서초동),2520.0,969.0,127.00557,37.48372,200492.61983,542697.23149,안전,2506.956236252046
강남역 인근 시연 시작점,3947.0,1165000000.0,5.0,서울특별시,서초구,1.0,학교,신동초등학교,1165010600100540005018857,1165010600.0,1165054000.0,서울특별시 서초구 나루터로 15(잠원동),577.0,222.0,127.01189,37.51689,201051.46516,546379.37618,안전,2522.9444901767333
강남역 인근 시연 시작점,3960.0,1165000000.0,405.0,서울특별시,서초구,1.0,학교,신중초등학교,1165010800114660005000003,1165010800.0,1165053000.0,서울특별시 서초구 남부순환로317길 15(서초동),784.0,301.0,127.00934,37.48019,200826.46909,542305.84669,안전,2548.879205882039
강남역 인근 시연 시작점,3927.0,1165000000.0,11.0,서울특별시,서초구,1.0,학교,방배중학교,1165010700105860001017058,1165010700.0,1165058100.0,서울특별시 서초구 동광로 144(반포동),99.0,38.0,126.99848,37.49425,199865.77139,543866.31885,안전,2603.3117746761563
강남역 인근 시연 시작점,3993.0,1168000000.0,10.0,서울특별시,강남구,1.0,학교,단국대학교사범대학부속고등학교,1168010600110130003014295,1168010600.0,1168060000.0,서울특별시 강남구 도곡로64길 21(대치동),4601.0,1769.0,127.05699,37.4952,205039.40531,543972.3674,안전,2608.899760067289
강남역 인근 시연 시작점,3996.0,1168000000.0,328.0,서울특별시,강남구,4.0,관공서,대치1문화센터,1168010600106460002000001,1168010600.0,1168060000.0,서울특별시 강남구 남부순환로391길 19(대치동),459.0,176.0,127.05677,37.49325,205020.49128,543755.98019,안전,2624.017989445282
강남역 인근 시연 시작점,3929.0,1165000000.0,348.0,서울특별시,서초구,1.0,학교,잠원초등학교,1165010700100170000000002,1165010700.0,1165057000.0,서울특별시 서초구 신반포로16길 15-25 (반포동),685.0,263.0,126.9979,37.50195,199814.45819,544721.0152,긴급,2659.453386103495
강남역 인근 시연 시작점,3914.0,1165000000.0,378.0,서울특별시,서초구,1.0,학교,양재초등학교,1165010200101010000005504,1165010200.0,1165065100.0,서울특별시 서초구 바우뫼로18길 14(양재동),558.0,214.0,127.03191,37.47419,202822.74974,541640.31212,긴급,2667.868568057001
